# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 17:31:56 2025
#
# User preference: *
#
# CONSTRAINT:  where (tfopwg_disp like '%kp%')
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmraerr1:    PMRA Upper Unc [mas/yr]
# COLUMN st_pmraerr2:    PMRA Lower Unc [mas/yr]
# COLUMN st_pmralim:     PMRA Limit Flag
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN st_pmdecerr1:   PMDec Upper Unc [mas/yr]
# COLUMN st_pmdecerr2:   PMDec Lower Unc [mas/yr]
# COLUMN st_pmdeclim:    PMDec Limit Flag
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_tranmiderr1: Planet Transit Midpoint Upper Unc [BJD]
# COLUMN pl_tranmiderr2: Planit Transit Midpoint Lower Unc [BJD]
# COLUMN pl_tranmidlim:  Planet Transit Midpoint Limit Flag
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_trandeperr1: Planet Transit Depth Upper Unc [ppm]
# COLUMN pl_trandeperr2: Planet Transit Depth Lower Unc [ppm]
# COLUMN pl_trandeplim:  Planet Transit Depth Limit Flag
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc [R_Earth]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc [R_Earth]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_insolerr1:   Planet Insolation Upper Unc [Earth flux]
# COLUMN pl_insolerr2:   Planet Insolation Lower Unc [Earth flux]
# COLUMN pl_insollim:    Planet Insolation Limit Flag
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN pl_eqterr1:     Planet Equilibrium Temperature Upper Unc [K]
# COLUMN pl_eqterr2:     Planet Equilibrium Temperature Lower Unc [K]
# COLUMN pl_eqtlim:      Planet Equilibrium Temperature Limit Flag
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN st_tmagerr2:    TESS Magnitude Lower Unc
# COLUMN st_tmaglim:     TESS Magnitude Limit Flag
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_disterr1:    Stellar Distance Upper Unc [pc]
# COLUMN st_disterr2:    Stellar Distance Lower Unc [pc]
# COLUMN st_distlim:     Stellar Distance Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_tefferr1:    Stellar Effective Termperature Upper Unc [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_loggerr1:    Stellar log(g) Upper Unc [cm/s**]
# COLUMN st_loggerr2:    Stellar log(g) Lower Unc [cm/s**2]
# COLUMN st_logglim:     Stellar log(g) Limit Flag
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN st_raderr1:     Stellar Radius Upper Unc [R_Sun]
# COLUMN st_raderr2:     Stellar Radius Lower Unc [R_Sun]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN toi_created:    TOI Created Date
# COLUMN rowupdate:      Date Modified
#
loc_rowid,toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
11,101.01,231663901,KP,21h14m56.88s,318.7370120,-55d52m18.71s,-55.8718630,12.6410000,0.044,-0.044,0,-16.0110000,0.041,-0.041,0,2458326.0091170,0.000132,-0.000132,0,1.4303699,0.0000008,-0.0000008,0,1.6165994,0.0192089,-0.0192089,0,18960.7122944,184.7913400,-184.7913400,0,13.1874503,0.6576402,-0.6576402,0,1281.2408254,,,,1525.9048089,,,,12.4069000,0.006,-0.006,0,375.3100000,4.4110000,-4.4110000,0,5600.0000000,,,0,4.4885100,,,0,0.8907740,0.0438467,-0.0438467,0,2018-09-05 18:49:20,2024-09-06 10:08:02
22,102.01,149603524,KP,05h48m33.56s,87.1398210,-63d59m17.98s,-63.9883290,-15.6410000,0.037,-0.037,0,26.0460000,0.037,-0.037,0,2460187.9165710,0.000126,-0.000126,0,4.4119378,0.0000008,-0.0000008,0,3.6500000,0.0110000,-0.0110000,0,15062.0000000,69.1814000,-69.1814000,0,15.4706000,0.6919630,-0.6919630,0,653.2520000,,,,1408.0000000,,,,9.7109000,0.006,-0.006,0,175.6310000,0.5880000,-0.5880000,0,6280.0000000,,,0,4.3209200,,,0,1.2100000,0.0500000,-0.0500000,0,2019-05-07 17:42:37,2024-10-03 10:08:02
35,103.01,336732616,KP,20h49m49.8s,312.4574880,-24d25m43.3s,-24.4286940,10.4260000,0.070,-0.070,0,15.6200000,0.051,-0.051,0,2458327.2525600,0.000586,-0.000586,0,3.5478540,0.0001490,-0.0001490,0,3.4943330,0.0492050,-0.0492050,0,10424.3718000,123.3593140,-123.3593140,0,14.5818410,0.1964350,-0.1964350,0,1212.0043760,,,,1504.8589530,,,,11.5232000,0.008,-0.008,0,411.2110000,7.7520000,-7.7520000,0,6351.0000000,,,0,4.2289600,,,0,1.4000000,,,0,2018-09-05 18:49:20,2024-09-07 10:08:02
46,104.01,231670397,KP,21h19m47.93s,319.9496970,-58d08m56.16s,-58.1489330,10.5520000,0.045,-0.045,0,-10.6580000,0.043,-0.043,0,2460150.6086770,0.000682,-0.000682,0,4.0872956,0.0000023,-0.0000023,0,5.5861130,0.0508755,-0.0508755,0,3572.1712499,35.6894260,-35.6894260,0,13.6237732,0.6518233,-0.6518233,0,2242.3605401,,,,1755.0767383,,,,9.8638000,0.006,-0.006,0,316.6780000,2.9655000,-2.9655000,0,6036.0000000,,,0,3.9335900,,,0,2.2186699,0.1025730,-0.1025730,0,2018-09-05 18:49:20,2023-10-16 16:02:02
56,1049.01,16288184,KP,16h55m04.52s,253.7688480,-28d42m38.1s,-28.7105840,-8.5680000,0.100,-0.100,0,-5.5620000,0.055,-0.055,0,2459363.8213930,0.000699,-0.000699,0,2.1805277,0.0000027,-0.0000027,0,2.9691750,0.0407210,-0.0407210,0,16340.1353205,426.8955700,-426.8955700,0,16.8088530,0.8821375,-0.8821375,0,1770.4650539,,,,1654.4040680,,,,11.0657000,0.006,-0.006,0,314.9950000,7.0655000,-7.0655000,0,6599.0000000,200.0000000,-200.0000000,0,4.2101700,1.9641100,-1.9641100,0,1.2714601,0.0635578,-0.0635578,0,2019-07-15 19:20:04,2022-03-30 16:02:02
57,105.01,144065872,KP,22h29m49.88s,337.4578240,-48d00m11.16s,-48.0030990,91.9760000,0.052,-0.052,0,-6.8610000,0.069,-0.069,0,2459084.5850100,0.000110,-0.000110,0,2.1846669,0.0000005,-0.0000005,0,2.8652800,0.0090748,-0.0090748,0,11708.0228549,34.9285660,-34.9285660,0,13.7028527,0.6619751,-0.6619751,0,1362.1381428,,,,1549.4409801,,,,9.4995000,0.006,-0.006,0,137.5440000,0.7905000,-0.7905000,0,5630.0000000,,,0,4.3775900,,,0,1.2382400,0.0596985,-0.0596985,0,2018-09-05 18:49:20,2025-03-25 16:00:01
58,1050.01,66818296,KP,15h59m50.94s,239.9622480,-28d03m42.46s,-28.0617940,-8.1000000,0.102,-0.102,0,-9.6390000,0.055,-0.055,0,2459355.5456300,0.000257,-0.000257,0,3.7354838,0.0000021,-0.0000021,0,4.1420000,0.0450000,-0.0450000,0,17030.0000000,0.2717320,-0.2717320,0,21.2315000,1.1957900,-1.1957900,0,1292.1900000,,,,1670.0000000,,,,11.0261000,0.006,-0.006,0,405.9080000,8.6000000,-8.6000000,0,6650.0000000,,,0,4.1639000,,,0,1.5700000,0.0900000,-0.0900000,0,2019-07-15 19:20:05,2022-10-05 10:10:01
68,106.01,38846515,KP,04h35m50.36s,68.9598160,-64d01m37.34s,-64.0270390,10.8450000,0.035,-0.035,0,-0.4990000,0.052,-0.052,0,2460201.6385830,0.000127,-0.000127,0,2.8493825,0.0000003,-0.0000003,0,3.5670000,0.0530000,-0.0530000,0,8049.0000000,25.0232000,-25.0232000,0,16.3869000,0.7347040,-0.7347040,0,2005.8300000,,,,1864.0000000,,,,10.3157000,0.006,-0.006,0,364.4110000,2.7290000,-2.7290000,0,6900.0000000,,,0,4.4380000,,,0,1.7700000,0.0800000,-0.0800000,0,2019-05-07 17:42:35,2023-11-16 16:02:02
75,1065.01,7088246,KP,19h05m28.02s,286.3667500,-50d04m02.46s,-50.0673500,7.3150000,0.037,-0.037,0,-0.8620000,0.029,-0.029,0,2458654.3479940,0.002094,-0.002094,0,2.1603440,0.0002760,-0.0002760,0,1.8288540,0.1448100,-0.1448100,0,19357.9929920,1487.6189000,-1487.6189000,0,22.5035410,17.5002040,-17.5002040,0,,,,,,,,,13.2851000,0.006,-0.006,0,639.0040000,9.4715000,-9.4715000,0,5780.0000000,,,0,4.3292800,,,0,1.2000000,,,0,2019-08-16 20:20:41,2021-10-29 12:59:15
76,1066.01,201604954,KP,19h00m23.16s,285.0965170,-54d53m36.03s,-54.8933410,3.9900000,0.054,-0.054,0,-37.1900000,0.042,-0.042,0,2458657.8325370,0.001239,-0.001239,0,4.6061840,0.0003920,-0.0003920,0,3.1216430,0.0788770,-0.0788770,0,13793.0348670,1031.5532000,-1031.5532000,0,12.9622190,0.5821830,-0.5821830,0,,,,,,,,,11.9707000,0.006,-0.006,0,353.8910000,4.9190000,-4.9190000,0,5670.0000000,,,0,4.3925000,,,0,1.0700000,,,0,2019-08-16 20:20:44,2021-10-29 12:59:15
