rowid,pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_id,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,pred_prob,pred_label
1,11 Com b,11 Com,b,HD 107383,HIP 60202,TIC 72437047,Gaia DR2 3946945413106333696,1,2,1,0,0,Radial Velocity,2007,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,2008-01,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,323.21,0.06,-0.05,0.0,1.178,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4914.89848585,39.09289406,-39.72855088,0.0,15.464,0.123,-0.125,0.0,,,,,,,,,4914.89848585,39.09289406,-39.72855088,0.0,15.464,0.123,-0.125,0.0,Msini,,,,,0.238,0.007,-0.007,0.0,,,,,,,,,,,,,,,,,JD,0,,,,,,,,,,,,,,,,,,,,,,,,,2454519.4,1.5,-1.6,0.0,91.33,1.7,-1.8,0.0,288.63,2.39,-2.37,0.0,,,,,,,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G8 III,4874.0,,,0.0,13.76,2.85,-2.45,0.0,2.09,0.64,-0.63,0.0,-0.26,0.1,-0.1,0.0,[Fe/H],1.97823,0.18002,-0.15868,0.0,2.45,0.08,-0.08,0.0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,18.33392,177.4179,140.3836266,0.3013952,-0.3013952,-109.241,0.316107,-0.316107,88.1701,0.277297,-0.277297,93.1846,1.9238,-1.9238,10.7104,0.219739,-0.219739,5.726,0.017,-0.017,4.72307,0.023,-0.023,2.943,0.334,-0.334,2.484,0.268,-0.268,2.282,0.346,-0.346,,,,,,,,,,,,,,,,0.639,,,0.732,,,2.358,0.01,-0.01,2.27,0.018,-0.018,4.44038,0.0038479,-0.0038479,,,,3.8379,0.0071,-0.0071,,,,2023-09-19,2023-08,2023-09-19,2,1,2,0,0,0,0,0.5743467041827023,1
2,11 Com b,11 Com,b,HD 107383,HIP 60202,TIC 72437047,Gaia DR2 3946945413106333696,0,2,1,0,0,Radial Velocity,2007,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,2008-01,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,1.21,0.06,-0.05,0.0,,,,,,,,,,,,,,,,,5434.7,540.3,-413.2,0.0,17.1,1.7,-1.3,0.0,,,,,,,,,5434.7,540.3,-413.2,0.0,17.1,1.7,-1.3,0.0,Msini,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,,,,,,2.6,0.4,-0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,18.33392,177.4179,140.3836266,0.3013952,-0.3013952,-109.241,0.316107,-0.316107,88.1701,0.277297,-0.277297,93.1846,1.9238,-1.9238,10.7104,0.219739,-0.219739,5.726,0.017,-0.017,4.72307,0.023,-0.023,2.943,0.334,-0.334,2.484,0.268,-0.268,2.282,0.346,-0.346,,,,,,,,,,,,,,,,0.639,,,0.732,,,2.358,0.01,-0.01,2.27,0.018,-0.018,4.44038,0.0038479,-0.0038479,,,,3.8379,0.0071,-0.0071,,,,2014-07-23,2011-08,2014-07-23,2,1,2,0,0,0,0,0.574186760704497,1
3,11 Com b,11 Com,b,HD 107383,HIP 60202,TIC 72437047,Gaia DR2 3946945413106333696,0,2,1,0,0,Radial Velocity,2007,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,2008-01,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,326.03,0.32,-0.32,0.0,1.29,0.05,-0.05,0.0,,,,,,,,,,,,,,,,,6165.6,476.7,-476.7,0.0,19.4,1.5,-1.5,0.0,,,,,,,,,6165.6,476.7,-476.7,0.0,19.4,1.5,-1.5,0.0,Msini,,,,,0.231,0.005,-0.005,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2452899.6,1.6,-1.6,0.0,94.8,1.5,-1.5,0.0,302.8,2.6,-2.6,0.0,,,,,,,,,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,G8 III,4742.0,100.0,-100.0,0.0,19.0,2.0,-2.0,0.0,2.7,0.3,-0.3,0.0,-0.35,0.09,-0.09,0.0,[Fe/H],2.243,0.071,-0.085,0.0,2.31,0.1,-0.1,0.0,,,,,,,,,1.2,1.0,-1.0,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,18.33392,177.4179,140.3836266,0.3013952,-0.3013952,-109.241,0.316107,-0.316107,88.1701,0.277297,-0.277297,93.1846,1.9238,-1.9238,10.7104,0.219739,-0.219739,5.726,0.017,-0.017,4.72307,0.023,-0.023,2.943,0.334,-0.334,2.484,0.268,-0.268,2.282,0.346,-0.346,,,,,,,,,,,,,,,,0.639,,,0.732,,,2.358,0.01,-0.01,2.27,0.018,-0.018,4.44038,0.0038479,-0.0038479,,,,3.8379,0.0071,-0.0071,,,,2014-05-14,2008-01,2014-05-14,2,1,2,0,0,0,0,0.5743467041827023,1
4,11 UMi b,11 UMi,b,HD 136726,HIP 74793,TIC 230061010,Gaia DR2 1696798367260229376,0,1,1,0,0,Radial Velocity,2009,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,2009-10,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,1.51,0.06,-0.05,0.0,,,,,,,,,,,,,,,,,3432.4,381.4,-413.2,0.0,10.8,1.2,-1.3,0.0,,,,,,,,,3432.4,381.4,-413.2,0.0,10.8,1.2,-1.3,0.0,Msini,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,,,,,,1.7,0.4,-0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.719,74.95821,141.64312,10.6790187,0.2188062,-0.2188062,3.42996,0.231822,-0.231822,10.1132,0.217259,-0.217259,125.321,1.9765,-1.9765,7.95388,0.124857,-0.124857,6.382,0.045,-0.045,5.013,0.005,-0.005,2.876,0.23,-0.23,2.091,0.194,-0.194,1.939,0.27,-0.27,,,,,,,,,,,,,,,,-0.29,,,0.143,,,1.894,0.012,-0.012,1.787,0.013,-0.013,4.56216,0.0039035,-0.0039035,,,,3.82294,0.0075,-0.0075,,,,2018-04-25,2011-08,2014-07-23,0,1,1,0,0,0,0,0.5742212468861977,1
5,11 UMi b,11 UMi,b,HD 136726,HIP 74793,TIC 230061010,Gaia DR2 1696798367260229376,0,1,1,0,0,Radial Velocity,2009,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,2009-10,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,516.22,3.25,-3.25,0.0,1.54,0.07,-0.07,0.0,,,,,,,,,,,,,,,,,3337.07,785.01,-785.01,0.0,10.5,2.47,-2.47,0.0,,,,,,,,,3337.07,785.01,-785.01,0.0,10.5,2.47,-2.47,0.0,Msini,,,,,0.08,0.03,-0.03,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2452861.04,2.06,-2.06,0.0,117.63,21.06,-21.06,0.0,189.7,7.15,-7.15,0.0,,,,,,,,,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,K4 III,4340.0,70.0,-70.0,0.0,24.08,1.84,-1.84,0.0,1.8,0.25,-0.25,0.0,0.04,0.04,-0.04,0.0,[Fe/H],,,,,1.6,0.15,-0.15,0.0,1.56,0.54,-0.54,0.0,,,,,1.5,,,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.719,74.95821,141.64312,10.6790187,0.2188062,-0.2188062,3.42996,0.231822,-0.231822,10.1132,0.217259,-0.217259,125.321,1.9765,-1.9765,7.95388,0.124857,-0.124857,6.382,0.045,-0.045,5.013,0.005,-0.005,2.876,0.23,-0.23,2.091,0.194,-0.194,1.939,0.27,-0.27,,,,,,,,,,,,,,,,-0.29,,,0.143,,,1.894,0.012,-0.012,1.787,0.013,-0.013,4.56216,0.0039035,-0.0039035,,,,3.82294,0.0075,-0.0075,,,,2018-04-25,2009-10,2014-05-14,0,1,1,0,0,0,0,0.5743811870127082,1
112,55 Cnc e,55 Cnc,e,HD 75732,HIP 43587,TIC 332064670,Gaia DR2 704967037090946688,0,2,5,0,0,Radial Velocity,2004,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,2004-10,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,1,0,0,1,0,0,0,0,0,0,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,0.73654625026,8.5159e-07,-8.5159e-07,0.0,,,,,2.02311213,0.18257262,-0.18257262,0.0,0.18049029,0.01628807,-0.01628807,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2657.8322,,,0.0,1831.27,,,0.0,,,,,2458870.692828,0.00011561,-0.00011561,0.0,BJD,0,,,,,0.03846733,0.00041906,-0.00041906,0.0,1.5732208,0.0293747,-0.0293747,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5250.0,147.6,-147.6,0.0,0.963515,0.065447,-0.065447,0.0,,,,,,,,,,,,,,4.42,0.09,-0.09,0.0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,539.1329986,0.1295797,-0.1295797,-485.872,0.133857,-0.133857,-233.651,0.109171,-0.109171,12.5855,0.0124,-0.0123,79.4274,0.0776646,-0.0776646,6.816,0.019,-0.019,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72973,0.0008523,-0.0008523,,,,5.2058,0.0061,-0.0061,,,,2024-12-10,2017-07,2024-12-10,6,1,9,11,19,4,0,0.5741602738959446,1
170,AU Mic b,AU Mic,b,HD 197481,HIP 102409,TIC 441420236,Gaia DR2 6794047652729201024,0,1,4,0,0,Transit,2020,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,2020-06,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,1,0,0,1,0,0,0,0,0,0,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,8.45367765822,,,0.0,,,,,4.02692583,0.21189068,-0.21189068,0.0,0.35925888,0.01890365,-0.01890365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6379,,,0.0,754.62,,,0.0,,,,,2459041.281746,0.00095672,-0.00095672,0.0,BJD,1,,,,,0.28722888,0.0217045,-0.0217045,0.0,3.5738006,0.0698212,-0.0698212,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,3588.0,87.0,-87.0,0.0,0.698009,0.021096,-0.021096,0.0,,,,,,,,,,,,,,4.60198,0.06332,-0.06332,0.0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,-36.80401,12.65304,-12.82465,305.30682,456.8630854,0.062801,-0.062801,281.424,0.0750541,-0.0750541,-359.895,0.0539548,-0.0539548,9.7221,0.004625,-0.004625,102.829,0.0485613,-0.0485613,10.209,0.036,-0.036,8.81,0.1,-0.1,5.436,0.017,-0.017,4.831,0.016,-0.016,4.529,0.02,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.84038,0.000731,-0.000731,,,,6.755,0.032,-0.032,,,,2025-09-17,2017-07,2022-08-10,1,1,0,1,0,0,0,0.5720271094366552,1
248,CoRoT-1 b,CoRoT-1,b,,,TIC 36352297,Gaia DR2 3105507886130792448,0,1,1,0,0,Transit,2008,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,2008-05,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,1,0,0,1,0,1,0,0,0,0,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,1.5089635,8.9e-06,-8.9e-06,0.0,,,,,20.5944,,,0.0,1.83731247,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2852.63,,,0.0,2036.0,,,0.0,,,,,2459211.478874,0.0011653,-0.0011653,0.0,BJD,0,,,,,1.314,0.00103586,-0.00103586,0.0,2.373,0.245,-0.245,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5950.0,,,0.0,1.29,,,0.0,,,,,,,,,,,,,,4.32551,,,0.0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,-2.10712,215.33882,-25.9795,103.43795,6.039454,0.0471126,-0.0471126,-6.01462,0.0471568,-0.0471568,0.54713,0.0414233,-0.0414233,787.909,23.491,-23.491,1.24176,0.0375126,-0.0375126,14.158,0.053,-0.053,13.623,0.114,-0.114,12.462,0.029,-0.029,12.218,0.026,-0.026,12.149,0.027,-0.027,,,,,,,,,,,,,,,,12.098,0.023,-0.023,12.136,0.023,-0.023,12.29,0.338,-0.338,9.091,,,13.457,0.000477,-0.000477,,,,13.0501,0.0165,-0.0165,,,,2022-08-08,2017-07,2022-08-08,0,6,1,0,7,6,0,0.5661163098188471,1
255,CoRoT-10 b,CoRoT-10,b,,,TIC 405010127,Gaia DR2 4263752921128319616,0,1,1,0,0,Transit,2010,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,2010-09,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,1,0,0,1,0,0,0,0,0,0,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,13.23412611048,0.005107075,-0.005107075,0.0,,,,,7.38532555,1.2427559,-1.2427559,0.0,0.65887575,0.11087145,-0.11087145,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1089,,,0.0,510.96,,,0.0,,,,,2460509.503679,0.00355848,-0.00355848,0.0,BJD,0,,,,,1.83895092,0.21720933,-0.21720933,0.0,2.3705157,0.3690949,-0.3690949,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5025.0,155.0,-155.0,0.0,0.548929,,,0.0,,,,,,,,,,,,,,4.88331,,,0.0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,-6.95299,37.36069,22.5266,292.89212,22.9585905,0.0544698,-0.0544698,-3.19635,0.0687823,-0.0687823,-22.735,0.0541488,-0.0541488,338.386,3.9865,-3.9865,2.92694,0.0345474,-0.0345474,17.344,0.166,-0.166,15.293,0.137,-0.137,12.527,0.025,-0.025,11.929,0.028,-0.028,11.782,0.021,-0.021,,,,,,,,,,,,,,,,11.64,0.022,-0.022,11.752,0.023,-0.023,11.396,0.213,-0.213,8.923,,,14.6645,0.000329,-0.000329,,,,13.8215,0.006,-0.006,,,,2024-11-20,2017-07,2024-11-20,0,0,0,0,0,0,0,0.5693610932021848,1
251,CoRoT-1 b,CoRoT-1,b,,,TIC 36352297,Gaia DR2 3105507886130792448,1,1,1,0,0,Transit,2008,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,2008-05,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,1,0,0,1,0,1,0,0,0,0,Published Confirmed,0,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,1.5089557,6.4e-06,-6.4e-06,0.0,,,,,16.7,0.9,-0.9,0.0,1.49,0.08,-0.08,0.0,327.35,38.14,-38.14,0.0,1.03,0.12,-0.12,0.0,,,,,,,,,,,,,,,,,327.35,38.14,-38.14,0.0,1.03,0.12,-0.12,0.0,Mass,0.38,0.05,-0.05,0.0,0.0,,,0.0,,,,,1898.0,50.0,-50.0,0.0,85.1,0.5,-0.5,0.0,2454159.4532,0.0001,-0.0001,0.0,JD,0,,,,,1.92654,0.058737,-0.0578552,0.0,,,,,4.92,0.08,-0.08,0.0,0.1388,0.0021,-0.0021,0.0,,,,,,,,,,,,,188.0,11.0,-11.0,0.0,,,,,,,,,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,G0 V,5950.0,150.0,-150.0,0.0,1.11,0.05,-0.05,0.0,0.95,0.15,-0.15,0.0,-0.3,0.25,-0.25,0.0,[M/H],,,,,4.25,0.3,-0.3,0.0,,,,,,,,,5.2,1.0,-1.0,0.0,,,,,23.354,0.008,-0.008,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,-2.10712,215.33882,-25.9795,103.43795,6.039454,0.0471126,-0.0471126,-6.01462,0.0471568,-0.0471568,0.54713,0.0414233,-0.0414233,787.909,23.491,-23.491,1.24176,0.0375126,-0.0375126,14.158,0.053,-0.053,13.623,0.114,-0.114,12.462,0.029,-0.029,12.218,0.026,-0.026,12.149,0.027,-0.027,,,,,,,,,,,,,,,,12.098,0.023,-0.023,12.136,0.023,-0.023,12.29,0.338,-0.338,9.091,,,13.457,0.000477,-0.000477,,,,13.0501,0.0165,-0.0165,,,,2014-05-14,2008-05,2014-05-14,0,6,1,0,7,6,0,0.5659836729302555,1
